[DEBUG][2020-08-17 16:58:29,023][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-31 16:36:18,419][net.sf.ehcache.Cache]CacheWriter factory not configured. Skipping...
[DEBUG][2020-08-31 16:36:18,419][net.sf.ehcache.config.ConfigurationHelper]No CacheExceptionHandlerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:36:18,442][net.sf.ehcache.store.MemoryStore]Initialized net.sf.ehcache.store.MemoryStore for HelloWorldCache
[DEBUG][2020-08-31 16:36:18,477][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE
[DEBUG][2020-08-31 16:36:18,481][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE_BYTES
[DEBUG][2020-08-31 16:36:18,481][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_DISK_SIZE
[DEBUG][2020-08-31 16:36:18,481][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_DISK_SIZE_BYTES
[DEBUG][2020-08-31 16:36:18,482][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: WRITER_QUEUE_LENGTH
[DEBUG][2020-08-31 16:36:18,482][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: REMOTE_SIZE
[DEBUG][2020-08-31 16:36:18,482][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LAST_REJOIN_TIMESTAMP
[DEBUG][2020-08-31 16:36:18,493][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_GET
[DEBUG][2020-08-31 16:36:18,494][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_PUT
[DEBUG][2020-08-31 16:36:18,495][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_REMOVE
[DEBUG][2020-08-31 16:36:18,495][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_GET
[DEBUG][2020-08-31 16:36:18,496][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_PUT
[DEBUG][2020-08-31 16:36:18,496][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_REMOVE
[DEBUG][2020-08-31 16:36:18,497][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_COMMIT
[DEBUG][2020-08-31 16:36:18,497][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_ROLLBACK
[DEBUG][2020-08-31 16:36:18,498][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_RECOVERY
[DEBUG][2020-08-31 16:36:18,499][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: CLUSTER_EVENT
[DEBUG][2020-08-31 16:36:18,500][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: NONSTOP
[DEBUG][2020-08-31 16:36:18,506][net.sf.ehcache.Cache]Initialised cache: HelloWorldCache
[DEBUG][2020-08-31 16:36:18,507][net.sf.ehcache.config.ConfigurationHelper]CacheDecoratorFactory not configured. Skipping for 'HelloWorldCache'.
[DEBUG][2020-08-31 16:36:18,507][net.sf.ehcache.config.ConfigurationHelper]CacheDecoratorFactory not configured for defaultCache. Skipping for 'HelloWorldCache'.
[DEBUG][2020-08-31 16:37:15,868][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from URL: file:/D:/justForTest/target/classes/ehcache.xml
[DEBUG][2020-08-31 16:37:15,871][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from InputStream
[DEBUG][2020-08-31 16:37:15,954][net.sf.ehcache.config.BeanHandler]Ignoring ehcache attribute xmlns:xsi
[DEBUG][2020-08-31 16:37:15,958][net.sf.ehcache.config.BeanHandler]Ignoring ehcache attribute xsi:noNamespaceSchemaLocation
[DEBUG][2020-08-31 16:37:15,961][net.sf.ehcache.config.DiskStoreConfiguration]Disk Store Path: C:\Users\uxdb\AppData\Local\Temp\/ehcache
[DEBUG][2020-08-31 16:37:15,980][net.sf.ehcache.CacheManager]Creating new CacheManager with config URL: file:/D:/justForTest/target/classes/ehcache.xml
[DEBUG][2020-08-31 16:37:15,982][net.sf.ehcache.util.PropertyUtil]propertiesString is null.
[DEBUG][2020-08-31 16:37:15,990][net.sf.ehcache.config.ConfigurationHelper]No CacheManagerEventListenerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:37:16,540][net.sf.ehcache.Cache]No BootstrapCacheLoaderFactory class specified. Skipping...
[DEBUG][2020-08-31 16:37:16,540][net.sf.ehcache.Cache]CacheWriter factory not configured. Skipping...
[DEBUG][2020-08-31 16:37:16,541][net.sf.ehcache.config.ConfigurationHelper]No CacheExceptionHandlerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:37:16,548][net.sf.ehcache.Cache]No BootstrapCacheLoaderFactory class specified. Skipping...
[DEBUG][2020-08-31 16:37:16,549][net.sf.ehcache.Cache]CacheWriter factory not configured. Skipping...
[DEBUG][2020-08-31 16:37:16,549][net.sf.ehcache.config.ConfigurationHelper]No CacheExceptionHandlerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:37:16,566][net.sf.ehcache.store.MemoryStore]Initialized net.sf.ehcache.store.MemoryStore for HelloWorldCache
[DEBUG][2020-08-31 16:37:16,600][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE
[DEBUG][2020-08-31 16:37:16,603][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE_BYTES
[DEBUG][2020-08-31 16:37:16,604][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_DISK_SIZE
[DEBUG][2020-08-31 16:37:16,604][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_DISK_SIZE_BYTES
[DEBUG][2020-08-31 16:37:16,604][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: WRITER_QUEUE_LENGTH
[DEBUG][2020-08-31 16:37:16,604][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: REMOTE_SIZE
[DEBUG][2020-08-31 16:37:16,605][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LAST_REJOIN_TIMESTAMP
[DEBUG][2020-08-31 16:37:16,620][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_GET
[DEBUG][2020-08-31 16:37:16,621][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_PUT
[DEBUG][2020-08-31 16:37:16,621][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_REMOVE
[DEBUG][2020-08-31 16:37:16,622][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_GET
[DEBUG][2020-08-31 16:37:16,622][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_PUT
[DEBUG][2020-08-31 16:37:16,623][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_REMOVE
[DEBUG][2020-08-31 16:37:16,624][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_COMMIT
[DEBUG][2020-08-31 16:37:16,624][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_ROLLBACK
[DEBUG][2020-08-31 16:37:16,624][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_RECOVERY
[DEBUG][2020-08-31 16:37:16,625][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: CLUSTER_EVENT
[DEBUG][2020-08-31 16:37:16,626][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: NONSTOP
[DEBUG][2020-08-31 16:37:16,632][net.sf.ehcache.Cache]Initialised cache: HelloWorldCache
[DEBUG][2020-08-31 16:37:16,633][net.sf.ehcache.config.ConfigurationHelper]CacheDecoratorFactory not configured. Skipping for 'HelloWorldCache'.
[DEBUG][2020-08-31 16:37:16,633][net.sf.ehcache.config.ConfigurationHelper]CacheDecoratorFactory not configured for defaultCache. Skipping for 'HelloWorldCache'.
[DEBUG][2020-08-31 16:38:43,812][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from file: .\src\main\resources\ehcache.xml
[DEBUG][2020-08-31 16:38:43,815][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from InputStream
[DEBUG][2020-08-31 16:38:43,880][net.sf.ehcache.config.BeanHandler]Ignoring ehcache attribute xmlns:xsi
[DEBUG][2020-08-31 16:38:43,884][net.sf.ehcache.config.BeanHandler]Ignoring ehcache attribute xsi:noNamespaceSchemaLocation
[DEBUG][2020-08-31 16:38:43,887][net.sf.ehcache.config.DiskStoreConfiguration]Disk Store Path: C:\Users\uxdb\AppData\Local\Temp\/ehcache
[DEBUG][2020-08-31 16:38:43,905][net.sf.ehcache.CacheManager]Creating new CacheManager with config file: ./src/main/resources/ehcache.xml
[DEBUG][2020-08-31 16:38:43,907][net.sf.ehcache.util.PropertyUtil]propertiesString is null.
[DEBUG][2020-08-31 16:38:43,918][net.sf.ehcache.config.ConfigurationHelper]No CacheManagerEventListenerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:38:44,454][net.sf.ehcache.Cache]No BootstrapCacheLoaderFactory class specified. Skipping...
[DEBUG][2020-08-31 16:38:44,454][net.sf.ehcache.Cache]CacheWriter factory not configured. Skipping...
[DEBUG][2020-08-31 16:38:44,455][net.sf.ehcache.config.ConfigurationHelper]No CacheExceptionHandlerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:38:44,461][net.sf.ehcache.Cache]No BootstrapCacheLoaderFactory class specified. Skipping...
[DEBUG][2020-08-31 16:38:44,462][net.sf.ehcache.Cache]CacheWriter factory not configured. Skipping...
[DEBUG][2020-08-31 16:38:44,462][net.sf.ehcache.config.ConfigurationHelper]No CacheExceptionHandlerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:38:44,478][net.sf.ehcache.store.MemoryStore]Initialized net.sf.ehcache.store.MemoryStore for HelloWorldCache
[DEBUG][2020-08-31 16:38:44,507][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE
[DEBUG][2020-08-31 16:38:44,510][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE_BYTES
[DEBUG][2020-08-31 16:38:44,510][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_DISK_SIZE
[DEBUG][2020-08-31 16:38:44,511][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_DISK_SIZE_BYTES
[DEBUG][2020-08-31 16:38:44,511][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: WRITER_QUEUE_LENGTH
[DEBUG][2020-08-31 16:38:44,511][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: REMOTE_SIZE
[DEBUG][2020-08-31 16:38:44,512][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LAST_REJOIN_TIMESTAMP
[DEBUG][2020-08-31 16:38:44,524][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_GET
[DEBUG][2020-08-31 16:38:44,525][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_PUT
[DEBUG][2020-08-31 16:38:44,526][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_REMOVE
[DEBUG][2020-08-31 16:38:44,526][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_GET
[DEBUG][2020-08-31 16:38:44,526][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_PUT
[DEBUG][2020-08-31 16:38:44,527][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_REMOVE
[DEBUG][2020-08-31 16:38:44,527][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_COMMIT
[DEBUG][2020-08-31 16:38:44,527][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_ROLLBACK
[DEBUG][2020-08-31 16:38:44,528][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_RECOVERY
[DEBUG][2020-08-31 16:38:44,528][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: CLUSTER_EVENT
[DEBUG][2020-08-31 16:38:44,529][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: NONSTOP
[DEBUG][2020-08-31 16:38:44,534][net.sf.ehcache.Cache]Initialised cache: HelloWorldCache
[DEBUG][2020-08-31 16:38:44,534][net.sf.ehcache.config.ConfigurationHelper]CacheDecoratorFactory not configured. Skipping for 'HelloWorldCache'.
[DEBUG][2020-08-31 16:38:44,535][net.sf.ehcache.config.ConfigurationHelper]CacheDecoratorFactory not configured for defaultCache. Skipping for 'HelloWorldCache'.
[DEBUG][2020-08-31 16:39:42,650][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from file: .\src\main\resources\ehcache.xml
[DEBUG][2020-08-31 16:39:42,656][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from InputStream
[DEBUG][2020-08-31 16:40:17,079][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from file: .\src\main\resources\ehcache.xml
[DEBUG][2020-08-31 16:40:17,082][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from InputStream
[DEBUG][2020-08-31 16:40:17,153][net.sf.ehcache.config.BeanHandler]Ignoring ehcache attribute xmlns:xsi
[DEBUG][2020-08-31 16:40:17,156][net.sf.ehcache.config.BeanHandler]Ignoring ehcache attribute xsi:noNamespaceSchemaLocation
[DEBUG][2020-08-31 16:40:17,159][net.sf.ehcache.config.DiskStoreConfiguration]Disk Store Path: C:\Users\uxdb\AppData\Local\Temp\/ehcache
[DEBUG][2020-08-31 16:40:17,180][net.sf.ehcache.CacheManager]Creating new CacheManager with config file: ./src/main/resources/ehcache.xml
[DEBUG][2020-08-31 16:40:17,182][net.sf.ehcache.util.PropertyUtil]propertiesString is null.
[DEBUG][2020-08-31 16:40:17,192][net.sf.ehcache.config.ConfigurationHelper]No CacheManagerEventListenerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:40:17,733][net.sf.ehcache.Cache]No BootstrapCacheLoaderFactory class specified. Skipping...
[DEBUG][2020-08-31 16:40:17,733][net.sf.ehcache.Cache]CacheWriter factory not configured. Skipping...
[DEBUG][2020-08-31 16:40:17,733][net.sf.ehcache.config.ConfigurationHelper]No CacheExceptionHandlerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:40:17,740][net.sf.ehcache.Cache]No BootstrapCacheLoaderFactory class specified. Skipping...
[DEBUG][2020-08-31 16:40:17,740][net.sf.ehcache.Cache]CacheWriter factory not configured. Skipping...
[DEBUG][2020-08-31 16:40:17,740][net.sf.ehcache.config.ConfigurationHelper]No CacheExceptionHandlerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:40:17,755][net.sf.ehcache.store.MemoryStore]Initialized net.sf.ehcache.store.MemoryStore for HelloWorldCache
[DEBUG][2020-08-31 16:40:17,782][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE
[DEBUG][2020-08-31 16:40:17,785][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE_BYTES
[DEBUG][2020-08-31 16:40:17,786][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_DISK_SIZE
[DEBUG][2020-08-31 16:40:17,787][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LOCAL_DISK_SIZE_BYTES
[DEBUG][2020-08-31 16:40:17,788][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: WRITER_QUEUE_LENGTH
[DEBUG][2020-08-31 16:40:17,788][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: REMOTE_SIZE
[DEBUG][2020-08-31 16:40:17,789][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Pass-Through Statistic: LAST_REJOIN_TIMESTAMP
[DEBUG][2020-08-31 16:40:17,802][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_GET
[DEBUG][2020-08-31 16:40:17,804][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_PUT
[DEBUG][2020-08-31 16:40:17,804][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: OFFHEAP_REMOVE
[DEBUG][2020-08-31 16:40:17,805][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_GET
[DEBUG][2020-08-31 16:40:17,805][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_PUT
[DEBUG][2020-08-31 16:40:17,805][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: DISK_REMOVE
[DEBUG][2020-08-31 16:40:17,806][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_COMMIT
[DEBUG][2020-08-31 16:40:17,807][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_ROLLBACK
[DEBUG][2020-08-31 16:40:17,807][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: XA_RECOVERY
[DEBUG][2020-08-31 16:40:17,808][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: CLUSTER_EVENT
[DEBUG][2020-08-31 16:40:17,808][net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl]Mocking Operation Statistic: NONSTOP
[DEBUG][2020-08-31 16:40:17,813][net.sf.ehcache.Cache]Initialised cache: HelloWorldCache
[DEBUG][2020-08-31 16:40:17,813][net.sf.ehcache.config.ConfigurationHelper]CacheDecoratorFactory not configured. Skipping for 'HelloWorldCache'.
[DEBUG][2020-08-31 16:40:17,813][net.sf.ehcache.config.ConfigurationHelper]CacheDecoratorFactory not configured for defaultCache. Skipping for 'HelloWorldCache'.
[DEBUG][2020-08-31 16:40:42,965][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from file: .\src\main\resources\ehcache.xml
[DEBUG][2020-08-31 16:40:42,968][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from InputStream
[DEBUG][2020-08-31 16:40:43,033][net.sf.ehcache.config.BeanHandler]Ignoring ehcache attribute xmlns:xsi
[DEBUG][2020-08-31 16:40:43,036][net.sf.ehcache.config.BeanHandler]Ignoring ehcache attribute xsi:noNamespaceSchemaLocation
[DEBUG][2020-08-31 16:40:43,039][net.sf.ehcache.config.DiskStoreConfiguration]Disk Store Path: C:\Users\uxdb\AppData\Local\Temp\/ehcache
[DEBUG][2020-08-31 16:40:43,060][net.sf.ehcache.CacheManager]Creating new CacheManager with config file: ./src/main/resources/ehcache.xml
[DEBUG][2020-08-31 16:40:43,062][net.sf.ehcache.util.PropertyUtil]propertiesString is null.
[DEBUG][2020-08-31 16:40:43,074][net.sf.ehcache.config.ConfigurationHelper]No CacheManagerEventListenerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:40:43,580][net.sf.ehcache.Cache]No BootstrapCacheLoaderFactory class specified. Skipping...
[DEBUG][2020-08-31 16:40:43,581][net.sf.ehcache.Cache]CacheWriter factory not configured. Skipping...
[DEBUG][2020-08-31 16:40:43,581][net.sf.ehcache.config.ConfigurationHelper]No CacheExceptionHandlerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:40:43,588][net.sf.ehcache.Cache]No BootstrapCacheLoaderFactory class specified. Skipping...
[DEBUG][2020-08-31 16:40:43,588][net.sf.ehcache.Cache]CacheWriter factory not configured. Skipping...
[DEBUG][2020-08-31 16:40:43,589][net.sf.ehcache.config.ConfigurationHelper]No CacheExceptionHandlerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:40:43,602][net.sf.ehcache.store.MemoryStore]Initialized net.sf.ehcache.store.MemoryStore for HelloWorldCache
